,类别,场景,子场景,用户需求,心理作用机制与功能
164,健康疗愈,心理健康,创伤疗愈,,认知重构-增强自信
165,健康疗愈,心理健康,创伤疗愈,,认知重构-目标达成
166,健康疗愈,心理健康,创伤疗愈,,行为驱动-提升行动力
167,健康疗愈,心理健康,创伤疗愈,,行为驱动-目标达成
168,健康疗愈,心理健康,学会感恩,,情感安抚-缓解压力
169,健康疗愈,心理健康,学会感恩,,情感安抚-接纳自我
170,健康疗愈,心理健康,学会感恩,,情感安抚-目标达成
171,健康疗愈,心理健康,学会感恩,,认知重构-增强自信
172,健康疗愈,心理健康,学会感恩,,认知重构-目标达成
173,健康疗愈,心理健康,学会感恩,,行为驱动-提升行动力
174,健康疗愈,心理健康,学会感恩,,行为驱动-目标达成
175,人际关系,亲密关系,失恋,减轻分手后的痛苦情绪,情感安抚-缓解压力
176,人际关系,亲密关系,失恋,停止自责，接受关系的结束,情感安抚-接纳自我
177,人际关系,亲密关系,失恋,设定情感恢复的短期目标（如减少回忆频率）,情感安抚-目标达成
178,人际关系,亲密关系,失恋,修正“我不值得被爱”的负面认知,认知重构-增强自信
179,人际关系,亲密关系,失恋,制定重建生活的具体计划,认知重构-目标达成
180,人际关系,亲密关系,失恋,通过社交活动逐步恢复情感活力,行为驱动-提升行动力
181,人际关系,亲密关系,失恋,完成情感独立的关键行动（如删除联系方式）,行为驱动-目标达成
182,人际关系,亲密关系,被PUA,,情感安抚-缓解压力
183,人际关系,亲密关系,被PUA,,情感安抚-接纳自我
184,人际关系,亲密关系,被PUA,,情感安抚-目标达成
185,人际关系,亲密关系,被PUA,,认知重构-增强自信
186,人际关系,亲密关系,被PUA,,认知重构-目标达成
187,人际关系,亲密关系,被PUA,,行为驱动-提升行动力
188,人际关系,亲密关系,被PUA,,行为驱动-目标达成
189,人际关系,亲密关系,暗恋,,情感安抚-缓解压力
190,人际关系,亲密关系,暗恋,,情感安抚-接纳自我
191,人际关系,亲密关系,暗恋,,情感安抚-目标达成
192,人际关系,亲密关系,暗恋,,认知重构-增强自信
193,人际关系,亲密关系,暗恋,,认知重构-目标达成
194,人际关系,亲密关系,暗恋,,行为驱动-提升行动力
195,人际关系,亲密关系,暗恋,,行为驱动-目标达成
196,人际关系,亲密关系,情感需求,,情感安抚-缓解压力
197,人际关系,亲密关系,情感需求,,情感安抚-接纳自我
198,人际关系,亲密关系,情感需求,,情感安抚-目标达成
199,人际关系,亲密关系,情感需求,,认知重构-增强自信
200,人际关系,亲密关系,情感需求,,认知重构-目标达成
201,人际关系,亲密关系,情感需求,,行为驱动-提升行动力
202,人际关系,亲密关系,情感需求,,行为驱动-目标达成
203,人际关系,亲密关系,伴侣互动,,情感安抚-缓解压力
204,人际关系,亲密关系,伴侣互动,,情感安抚-接纳自我
205,人际关系,亲密关系,伴侣互动,,情感安抚-目标达成
206,人际关系,亲密关系,伴侣互动,,认知重构-增强自信
207,人际关系,亲密关系,伴侣互动,,认知重构-目标达成
208,人际关系,亲密关系,伴侣互动,,行为驱动-提升行动力
209,人际关系,亲密关系,伴侣互动,,行为驱动-目标达成
210,人际关系,人际关系,家庭关系,,情感安抚-缓解压力
211,人际关系,人际关系,家庭关系,,情感安抚-接纳自我
212,人际关系,人际关系,家庭关系,,情感安抚-目标达成
213,人际关系,人际关系,家庭关系,,认知重构-增强自信
214,人际关系,人际关系,家庭关系,,认知重构-目标达成
215,人际关系,人际关系,家庭关系,,行为驱动-提升行动力
216,人际关系,人际关系,家庭关系,,行为驱动-目标达成
217,人际关系,人际关系,朋友关系,,情感安抚-缓解压力
218,人际关系,人际关系,朋友关系,,情感安抚-接纳自我
219,人际关系,人际关系,朋友关系,,情感安抚-目标达成
220,人际关系,人际关系,朋友关系,,认知重构-增强自信
221,人际关系,人际关系,朋友关系,,认知重构-目标达成
222,人际关系,人际关系,朋友关系,,行为驱动-提升行动力
223,人际关系,人际关系,朋友关系,,行为驱动-目标达成
224,人际关系,人际关系,职场关系,,情感安抚-缓解压力
225,人际关系,人际关系,职场关系,,情感安抚-接纳自我
226,人际关系,人际关系,职场关系,,情感安抚-目标达成
227,人际关系,人际关系,职场关系,,认知重构-增强自信
228,人际关系,人际关系,职场关系,,认知重构-目标达成
229,人际关系,人际关系,职场关系,,行为驱动-提升行动力
230,人际关系,人际关系,职场关系,,行为驱动-目标达成
231,人际关系,人际关系,冲突解决,,情感安抚-缓解压力
232,人际关系,人际关系,冲突解决,,情感安抚-接纳自我
233,人际关系,人际关系,冲突解决,,情感安抚-目标达成
234,人际关系,人际关系,冲突解决,,认知重构-增强自信
235,人际关系,人际关系,冲突解决,,认知重构-目标达成
236,人际关系,人际关系,冲突解决,,行为驱动-提升行动力
237,人际关系,人际关系,冲突解决,,行为驱动-目标达成
238,人际关系,社交场景,社交焦虑,,情感安抚-缓解压力
239,人际关系,社交场景,社交焦虑,,情感安抚-接纳自我
240,人际关系,社交场景,社交焦虑,,情感安抚-目标达成
241,人际关系,社交场景,社交焦虑,,认知重构-增强自信
242,人际关系,社交场景,社交焦虑,,认知重构-目标达成
243,人际关系,社交场景,社交焦虑,,行为驱动-提升行动力
244,人际关系,社交场景,社交焦虑,,行为驱动-目标达成
245,通用场景,日常场景,起床,缓解早晨的疲惫感和抗拒情绪,情感安抚-缓解压力
246,通用场景,日常场景,起床,接纳早起困难的状态，减少自我批判,情感安抚-接纳自我
247,通用场景,日常场景,起床,建立对一天安排的积极预期,认知重构-增强自信
248,通用场景,日常场景,起床,通过简单动作启动起床流程（如伸展肢体）,行为驱动-提升行动力
249,通用场景,日常场景,娱乐,,情感安抚-缓解压力
250,通用场景,日常场景,娱乐,,情感安抚-接纳自我
251,通用场景,日常场景,睡前,,情感安抚-缓解压力
252,通用场景,日常场景,睡前,,情感安抚-接纳自我
253,通用场景,日常场景,睡前,,认知重构-增强自信
254,通用场景,日常场景,睡前,,行为驱动-提升行动力
255,通用场景,数字生活,虚拟世界依赖,,情感安抚-目标达成
256,通用场景,数字生活,虚拟世界依赖,,认知重构-增强自信
257,通用场景,数字生活,虚拟世界依赖,,认知重构-目标达成
258,通用场景,数字生活,虚拟世界依赖,,行为驱动-提升行动力
259,通用场景,数字生活,虚拟世界依赖,,行为驱动-目标达成
260,通用场景,数字生活,数字工具使用,,情感安抚-目标达成
261,通用场景,数字生活,数字工具使用,,认知重构-增强自信
262,通用场景,数字生活,数字工具使用,,认知重构-目标达成
263,通用场景,数字生活,数字工具使用,,行为驱动-提升行动力
264,通用场景,数字生活,数字工具使用,,行为驱动-目标达成
265,通用场景,数字生活,信息过载,,情感安抚-缓解压力
266,通用场景,数字生活,信息过载,,情感安抚-目标达成
267,通用场景,数字生活,信息过载,,认知重构-增强自信
268,通用场景,数字生活,信息过载,,认知重构-目标达成
269,通用场景,数字生活,信息过载,,行为驱动-提升行动力
270,通用场景,数字生活,信息过载,,行为驱动-目标达成
271,自我认知,自我价值,内在自信,,情感安抚-接纳自我
272,自我认知,自我价值,内在自信,,情感安抚-目标达成
273,自我认知,自我价值,内在自信,,认知重构-增强自信
274,自我认知,自我价值,内在自信,,认知重构-目标达成
275,自我认知,自我价值,内在自信,,行为驱动-提升行动力
276,自我认知,自我价值,内在自信,,行为驱动-目标达成
277,自我认知,自我价值,价值感确立,,情感安抚-缓解压力
278,自我认知,自我价值,价值感确立,,情感安抚-接纳自我
279,自我认知,自我价值,价值感确立,,情感安抚-目标达成
280,自我认知,自我价值,价值感确立,,认知重构-增强自信
281,自我认知,自我价值,价值感确立,,认知重构-目标达成
282,自我认知,自我价值,价值感确立,,行为驱动-提升行动力
283,自我认知,自我价值,价值感确立,,行为驱动-目标达成
284,自我认知,夸夸,内在特质夸夸,强化对内在品质（如善良、坚韧）的认同,认知重构-增强自信
285,自我认知,夸夸,外在特质夸夸,提升对外在形象（如气质、穿搭）的接纳,认知重构-增强自信
286,自我认知,夸夸,能力与成就夸夸,认可自身能力与过往成就的价值,认知重构-增强自信
287,自我认知,夸夸,成长进步夸夸,关注自我成长的积极变化,认知重构-增强自信
288,自我认知,夸夸,独特性夸夸,肯定自身独特性的不可替代性,认知重构-增强自信
289,自我认知,自我价值,内在自信,,情感安抚-缓解压力
290,擦拭信念,内在特质,唤醒勇气,,认知重构-目标达成
291,擦拭信念,内在特质,唤醒勇气,,行为驱动-提升行动力
292,擦拭信念,内在特质,唤醒勇气,,行为驱动-目标达成
293,擦拭信念,内在特质,提醒坚持,,认知重构-目标达成
294,擦拭信念,内在特质,提醒坚持,,行为驱动-提升行动力
295,擦拭信念,内在特质,提醒坚持,,行为驱动-目标达成
296,擦拭信念,内在特质,坚固信心,,认知重构-目标达成
297,擦拭信念,内在特质,坚固信心,,行为驱动-提升行动力
298,擦拭信念,内在特质,坚固信心,,行为驱动-目标达成
299,擦拭信念,个人追求,追求理想,,认知重构-目标达成
300,擦拭信念,个人追求,追求理想,,行为驱动-提升行动力
301,擦拭信念,个人追求,追求理想,,行为驱动-目标达成
302,擦拭信念,个人追求,追求梦想,,认知重构-目标达成
303,擦拭信念,个人追求,追求梦想,,行为驱动-提升行动力
304,擦拭信念,个人追求,追求梦想,,行为驱动-目标达成
305,擦拭信念,个人追求,追求善良,,认知重构-目标达成
306,擦拭信念,个人追求,追求善良,,行为驱动-提升行动力
307,擦拭信念,个人追求,追求善良,,行为驱动-目标达成
308,擦拭信念,个人追求,追求爱,,认知重构-目标达成
309,擦拭信念,个人追求,追求爱,,行为驱动-提升行动力
310,擦拭信念,个人追求,追求爱,,行为驱动-目标达成
