序号,自我肯定语,权重,最终合集,合集数量,AI合集,修改后合集,合集理由,曝光点赞率,不感兴趣次数,是否短断句,生产者,感情状况,感情状况理由,最近的感觉,什么让你有这种感觉,最近的感觉理由,场景,子场景,用户需求,心理作用机制与功能,句子级别,备注
4422,现在迈出的每一步都让我更加坚信未来。,3,"['自信','个人成长',  '追梦无悔']",3,,,,,,,,,,,,,,,,,,
4423,我是世界的奢侈品。,3,"['自信', '女性力量', '自尊心']",3,,,,,,,,,,,,,,,,,,
4424,我属于更加广阔的世界。,3,"['点燃动力', '焕发生命力', '女性力量']",3,,,,,,,,,,,,,,,,,,
4425,我值得被尊重。,3,"['人际交往', '拥抱女性身份', '自尊心']",3,,,,,,,,,,,,,,,,,,
4426,我选择快乐。,3,"['积极心态', '自我关怀', '愉悦心情']",3,,,,,,,,,,,,,,,,,,
4427,我会站出来维护自己。,3,"['人际交往', '女性力量', '自尊心']",3,,,,,,,,,,,,,,,,,,
4428,我不再苛求完美。,3,"['爱自己', '自我关怀', '平静内心']",3,,,,,,,,,,,,,,,,,,
4429,我越来越有活力。,3,"['焕发生命力', '积极心态', '自信']",3,,,,,,,,,,,,,,,,,,
4430,我坦荡地称赞自己。,3,"['爱自己', '自我关怀', '我很好']",3,,,,,,,,,,,,,,,,,,
4431,我会变得稳固、充实、坚定。,3,"['擦拭信念','个人成长',  '平静内心']",3,,,,,,,,,,,,,,,,,,
4432,我能一直朝前走。,3,"['擦拭信念','个人成长',  '追梦无悔']",3,,,,,,,,,,,,,,,,,,
4433,我平静地去爱，毫不含糊地去信任，不带自嘲地去希望，勇敢地付诸行动。,3,"['亲密关系', '焕发生命力', '擦拭信念']",3,,,,,,,,,,,,,,,,,,
4434,任何事都不能动摇我的幸福。,3,"['擦拭信念', '自信', '平静内心']",3,,,,,,,,,,,,,,,,,,
4435,会有人因为我是我而爱我。,3,['心碎疗愈' ],1,,,,,,,,,,,,,,,,,,
