序号,自我肯定语
174,我有能力把理论运用到实践中。
175,今天的我能比昨天更强大。
176,我欣赏自己的每一个小成就。
177,每次锻炼后，我都更喜欢镜子中的自己。
178,我每天都充满新的希望和力量。
179,我能自信地与人交流，这是我的优势之一。
180,我会用行动表达爱，现在就开始。
181,每天都是一个新的开始，我准备好了。
182,我每一个小动作都充满活力。
183,我理解休息的价值，这让我更有活力。
184,我不安的情绪是暂时的。
185,适度休息也是前进的准备。
186,我为自己的平和心态感到自豪。
187,我能安静地感受今天的美好。
188,我能遇到更好的工作机会，因为我一直在成长。
189,我每天都以开放的心态结识新朋友。
190,爱是贯穿生活的主线。
191,我有能力掌控自己的未来。
192,今天的我比昨天更坚定。
193,新的一天是我重塑自我的舞台。
194,我接受我所有的情绪。
195,我选择相信自己而非他人的闲言碎语。
196,我今天的付出值得骄傲。
197,我知道自己的潜力，今天我会好好使用它。
198,今天我专注于一个目标，稳步前进。
199,我选择微笑面对生活。
200,我选择自己喜爱的生活。
201,我有能力克服困难，这不过是成功的前奏。
202,不管多难，我都相信自己能坚持。
203,我在改变中找到自己的新方向。
204,我会用自信的态度去迎接新的开始。
205,我正练习深呼吸，让焦虑随风而去。
206,我能感受此刻的平静，一切都来得及。
207,每个新的早晨都是我重新开始的机会。
208,我将失败视为实践之旅中的指路星辰。
209,我温柔对待自己，接纳生活的不完美。
210,我休息是为了明天更有力。
211,我接纳现在的状态并能找到前进的动力。
212,我的情绪由我主宰，不会被外界左右。
213,我会耐心面对问题，寻找答案。
214,今天我选择相信自己，积极向前。
215,美好的事情即将发生。
216,我能感受到自己的成长，每一天都充满希望。
217,我敢于表达自己，这是我魅力的体现。
218,学习新事物让我更有自信。
219,我选择接纳自己的全部，包括不完美。
220,我与我的情绪和解。
221,我给自己的每个选择点赞。
222,我可以放慢节奏，让自己从容应对。
223,我能担起责任，化解误会。
224,我的职业选择是我内心坚定的指引。
225,每一天都是新开始，我准备好突破自我。
226,我的信任终将获得回报。
227,我对自己的未来充满希望。
228,我相信自己有能力面对冲突，并找到解决之道。
229,我可以承受这份情感。
230,我能从每次经历中汲取力量。
231,我可以从容应对变化。
232,每天我都会坚持一点点，积沙成塔。
233,我在实践中不断地发现新的自我。
234,我能感受今天的每一刻都是宝贵的。
235,我每天都在成为更好的自己。
236,我拥有清晰的愿景，引导我前进。
237,我对自己的评价不应受他人影响。
238,我接受现在的自己，也期待未来的成长。
239,我有能力改变生活，今天的我比昨天更强。
240,每个早晨都是新开始，我准备好了。
241,每天醒来我都有机会变得更加勇敢。
242,我选择积极投入，每一次尝试都让我更接近成功。
243,我愿意等待，因为美好的事物值得等待。
244,我的每一个尝试都是成功的积累。
245,我感到焦虑时，深呼吸，然后继续前进。
246,不安只是暂时的，我能平静面对自己。
247,我走在新的道路上，满怀希望。
248,我内心的坚定让我勇敢表达自己。
249,我有能力从挫折中站起来。
250,我会专注当下，不受过去干扰。
251,我感受紧张，也接受它是我的一部分。
252,我相信自己的判断，每个选择都在指引我前行。
253,我能坚持下去，感到焦虑也正常。
254,自我接纳让我更强大。
255,我给自己时间和空间来愈合。
256,我相信自己能解决学习中的问题。
257,我的努力不会被辜负，坚韧不拔终将有所获。
258,我用心倾听自己的感受。
259,我的喜欢不需立刻回应。
260,我不完美，但这就是我。
261,今天我也要温柔对待自己。
262,今天的我依旧爱自己，比昨日更甚。
263,我有能力应对情绪波动。
264,我允许自己慢慢成长，不急不躁。
265,我关心朋友，今天我会发一条温暖的信息给他们。
266,即使今日暗淡，我也有力量让它变得耀眼。
267,我珍惜当下，每一天都是新的起点。
268,我有能力将愿景转化为行动。
269,我拥有改变现状、规划未来的能力。
270,我有决心，也有能力让事情变得不一样。
271,无论昨日如何，今天我选择全力以赴。
272,我拥有独一无二的价值。
273,我懂得爱，也接受被爱。
274,今天我愿意尝试另一种学习方法。
275,我拥有自我调整的力量。
276,我允许自己有不快乐的时候。
277,我理解自己的需求和界限。
278,我准备好迎接今天的小改变。
279,我会与家人保持和谐，耐心倾听他们的声音。
280,我能够克服短暂的动力不足。
281,放松下来，相信自己的能力与选择。
282,我可以用呼吸来平复心绪。
283,我正逐渐适应新的自我。
284,我对自己的未来充满信心和期待。
285,无论何时我都有权选择放手。
286,我能平和地表达自己，不做无谓的争执。
287,我能平静地面对不公。
288,今天我能原谅自己的不足。
289,今天我又坚持了，这很好。
290,我的感受值得被认真对待。
291,我珍惜此刻，准备迎接即将到来的每一个瞬间。
292,我选择乐观，困难自有解决方案。
293,我正在走出过去的阴影。
294,我每天都会有新的希望。
295,我对自己的爱不需要条件。
296,我相信今天会有更多的可能发生。
297,我选择用行动证明价值。
298,我在原谅中找到前行的力量。
299,我接纳自己现在的感觉，也相信我会好起来。
300,冲突过后，我依然能和他人构建信任。
301,我可以平和地处理冲突。
302,今天的小行动是我成功的起点。
303,我决定今天主动承担一项任务。
304,我可以耐心地练习，渐入佳境。
305,每当我想到朋友，内心便充满温暖。
306,我会珍惜每一份爱和关怀。
307,每一天都是我变得更强的见证。
308,我能自信面对生活，每一天都是新的开始。
309,我今天做的一切都值得骄傲。
310,我能慢慢克服不安感。
311,我对每个决定都充满信心。
312,每次冲突都是解决分歧、建立理解的机会。
313,我的内向是一种内在的力量。
314,爱与被爱，我都能自然表达。
315,无论昨日如何，今天仍是新的开始。
316,我可以用平和的心态面对他人。
317,我的感受很重要，值得被倾听。
318,我可以接纳不完美的关系。
319,我将专注于改善与家人的关系，每一次对话都是新起点。
320,我心中有爱，生活也有爱。
321,我感谢新的一天，宝贵的时间属于我。
322,我允许自己拥有不同感受。
323,今天我会留出时间给自己放松。
324,我会一点一点提高，慢慢接近目标。
325,我决定行动，就从最简单的步骤开始。
326,我能展现出最好的自己。
327,每天我都在学习成为更好的自己。
328,我有权决定何时休息何时工作。
329,我可以在社交中逐步找到自己的位置。
330,我不怕设定目标，我有能力去实现它们。
331,我接受此刻的自己，明天会更好。
332,我能通过小事给朋友带来正能量。
333,我的行动就是对未来的承诺。
334,我今天将从容应对，充满信心。
335,我享受与人沟通的过程，这让我更加自信。
336,我感激每一次跌倒，它们令我坚强。
337,我有能力调整我的日常生活。
338,我选择爱，因为爱让我自由。
339,每周的小社交让我更加自信。
340,我能体谅他人，也给予自己温柔。
341,我爱我自己，世界会因我而更美好。
342,我的感觉也是重要的，我接纳自己。
343,我为自己的每一个决定感到自豪。
344,我认可自己，不因他人眼光动摇。
345,我已经准备好迎接更加有序的一天。
346,我的内心平静如水。
347,我不完美，但这正是我独特之所在。
348,我选择爱的力量，它引领我向前。
349,我的勇气值得赞赏，我将以行动展现自我价值。
350,我曾经播种的信任将绽放友谊的花朵。
351,我接受现在的自己，无论怎样都是最好的状态。
352,我有能力克服困难，现在就开始。
353,我可以创造自己的价值，无需他人定论。
354,我能从失败中找到学习和成长的机会。
355,社交焦虑是暂时的，我能克服它。
356,我享受慢慢实现目标的过程。
357,我会用一点点改变，积累成积极的生活态度。
358,我允许自己感到痛苦，这不影响我的成长。
359,我相信自己，每一个选择都是全新的开始。
360,我肯定自己的价值，每一天都是新的开始。
361,我可以按照自己的节奏来。
362,我会善待自己，感受内心的力量。
363,我有能力让自己的生活变得更好。
364,我认真对待每一次尝试，那是成功的起点。
365,我感谢今天的不同，并赋予它意义。
366,我能够调整步伐，今天就是新的开始。
367,我爱我所选择，付出是双向的喜悦。
368,我每天都有新的社交技能可以学习。
369,我的每一天都是自我发现的新开始。
370,我有力量慢慢调和家的氛围。
371,我将不断前进，直到梦想成真。
372,失落只是暂时的，我每天都有机会重新出发。
373,我的想法和感受都很重要。
374,我给自己定的小计划正逐步实现。
375,我可以平静接纳自己的感受。
376,我正平稳地走在成长的路上。
377,我每一天都在变得更优秀。
378,即使今天不够好，我也在成长。
379,放松身心，我知道自己有面对困难的力量。
380,我相信小改变可以开启大不同。
381,休息也是生活的一部分。
382,我接受了现在的自己，同时也期待我未来的辉煌。
383,我的每一次尝试都是对自己信任的体现。
384,我有能力让自己的一天更好。
385,我有能力让今天变得不同。
386,我接受自己的不确定性，这是成长之路的一部分。
387,我正在逐步适应新的变化，一切都在掌控之中。
388,我拥有应对变化的力量。
389,我在兴趣中找到内心的平静。
390,我正在逐步打开心扉，适应社交。
391,今日的我，以行动证明我的决心。
392,今天我会积极行动，遇见更好的自己。
393,每个转变都是我成长的机遇。
394,我勇敢迈向新的方向。
395,我选择行动，让焦虑无从插足。
396,我允许自己暂时慢下来。
397,我今天的选择是为明天的幸福铺路。
398,我有时会感到迷茫，但我有勇气面对它。
399,我做得很好，只需要相信自己。
400,即使有困难，我能勇敢面对。
401,今日我将以微笑迎接每一个瞬间。
402,我平静面对每一个结束，也有新的开始。
403,我接受现在的自己，这就是我。
404,即使犹豫，我依然有选择的力量。
405,今天给自己一个微笑。
406,焦虑是暂时的，我能安抚自己。
407,今天我很勤奋，我为自己骄傲。
408,勇敢向前一步，我正变得越来越好。
409,我允许自己短暂休息，为继续奋斗储备能量。
410,我从此刻开始爱自己。
411,我在一步一个脚印地不断前进。
412,我选择职业不单为生计，更为实现自己的价值。
413,我允许自己感受复杂情绪，它们是我的一部分。
414,今天我将全力以赴。
415,我允许自己感受此刻的平静。
416,每天我都会变得更坚强一点。
417,我理解并接纳自己的全部。
418,我能感受到稳定改善带来的快乐。
419,今天我会专注于最重要的事情。
420,我耐心面对每个当下。
421,今天的我比昨天更近梦想。
422,每个新的尝试都是自我提升的起点。
423,我珍惜每一次探索自我的机会。
424,我的敏感不是缺点而是我的独特视角。
425,我允许自己享受当下，不焦虑未来。
426,我在小事上也能表现得很棒。
427,今天我将用心聆听，建立更深厚的联系。
428,我选择相信自己的能力。
429,我相信我的能力，每次锻炼都有所提升。
430,我对自己的决策充满信心。
431,我有能力平和度过每一天。
432,我选择积极面对困难，从中汲取力量。
433,我能温柔对待自己迟来的脚步。
434,自己的价值不需要他人来证明。
435,我感恩现在，它是未来的起点。
436,我能温和地设定我的边界。
437,今晚我会早点休息，迎接崭新的一天。
438,我会合理分配时间，高效完成工作。
439,我对自己诚实也对他人真诚。
440,我会温柔对待自己，今天的我很好。
441,我心怀勇气，勇敢向前。
442,我能够在忙碌中找到现实生活的平衡。
443,我的情绪由我来主导。
444,每个深呼吸都是释放焦虑的开始。
445,我可以早起迎接第一缕阳光。
446,我在爱中成长，温润如初。
447,我允许自己感受悲伤，这是成长的一部分。
448,我学会平和地说“不”。
449,我能勇敢表达自己的意见。
450,每一次困难都是成长的考验。
451,即使计划有变，我也有能力应对和调整。
452,我逐步前行，无惧挑战。
453,我能耐心倾听，因为这将带来更多理解。
454,我不完美，但我每天都在成长。
455,每一天都是自我重塑的新开始。
456,我理解别人，也懂得爱护自己。
457,今天我从冥想中寻求内心的安宁。
458,我爱自己，无论过去发生了什么。
459,我认可现在的自己并相信更好的未来。
460,我每一天都在变得更强壮。
461,我有耐心给自己足够的时间去疗愈。
462,每日的坚持铺就我梦想之路。
463,我选择相信自己，每天都是新的开始。
464,我餐餐吃得健康，每天都充满活力。
465,我可以慢下来，让心灵得到安宁。
466,我的敏感引领我走向更细致的世界。
467,每天我都在学习成长，变得更强。
468,我能用心感受每一刻的幸福。
469,今天我选择了勇气，把焦虑踩在脚下。
470,我可以慢慢来，一切都还来得及。
471,我感受的每一刻都是新的开始。
472,我理解冲突是沟通的一部分。
473,我擅长沟通，能和他人协作解决问题。
474,我能决定每天学习的内容。
475,我可以一点一点地克服障碍。
476,我的努力值得被肯定。
477,即使焦虑我也能逐步找到解决问题的钥匙。
478,我允许自己慢慢积累知识。
479,我心中的光足以照亮前行的路。
480,我学会感谢过去，它塑造了现在的我。
481,我接受今天的自己，无论好坏。
482,每一次尝试都是成长的机遇。
483,今天的我比昨天更懂得爱护自己。
484,我接受自己的不确定感，它将引导我成长。
485,我愿意给彼此一些空间去冷静。
486,今天我可以冷静面对困难，找到解决办法。
487,我的知识每天都在增长。
488,我有能力让内心回归平静。
489,我正在学习如何更好地沟通我的需求。
490,我接受现在的自己。
491,我有能力完成我的目标。
492,我理解自己，也接纳自己的不完美。
493,我选择感恩生活，每一天都是新的开始。
494,不管外界如何我能保持我的善意。
495,我的情绪是我的一部分，我选择拥抱它们。
496,我允许自己犯错也允许自己成长。
497,我能从理论中找寻实践的秘诀。
498,我每天都有新的机会证明自己。
499,我有权利享受生活中的小乐趣。
500,我会用更恰当的方式表达我的感受。
501,即使不完美，我也值得自己的赞赏。
502,我知道我有能力战胜困难。
503,我接受自己的局限也庆祝每一次成长。
504,我不完美，但我每一天都在成长。
505,深呼吸，相信自己准备充分就能做到。
506,心怀感激，我能发现更多的生活美好。
507,我有能力找到满意的工作。
508,每一份善意都种下了希望的种子。
509,今天给自己一个温柔的拥抱。
510,我不完美，但我很珍贵。
511,我会给自己更多的空间和时间。
512,我做的每个选择都在塑造更好的我.。
513,今天我会耐心学习，增长智慧。
514,我接受自己，无论失败或成功。
515,不论昨日如何，今天都是新的开始。
516,我会找到平和的方式来化解紧张情况。
517,我有力量改变现状。
518,我选择欣赏自己，不做比较。
519,我今天的小小努力，都构建着我的自信。
520,早起的我精神满满，今天又是美好的一天。
521,我接受每一个尝试，无论结果如何。
522,我今天做的不错，明天会做得更好。
523,每一种经历都让我更自信。
524,我有力量去选择更好的回忆方式。
525,我能慢慢变得更好。
526,我对自己的每个决定都充满信心。
527,我会尽力而为，不完美也没关系。
528,我相信我有能力让今天变得更好。
529,我有能力把理念转化为现实。
530,我的职业之路由我自己稳稳掌握。
531,我懂得平衡娱乐与责任。
532,困难只是暂时的，我有能力克服。
533,我无需害怕，我天生就值得被尊重。
534,我能感受到内心的安宁。
535,困境只是暂时的，我有克服它的能力。
536,我的感受值得被尊重。
537,我对自身不完美的接纳，就是力量。
538,感谢每一次经历，它们塑造了更好的我。
539,我做事有条不紊，什么难关都能过。
540,我相信自己的决断，勇往直前。
541,允许自己休息是为了走更远的路。
542,我知道每一次学习都是成长的一部分。
543,我理解并接纳自己的感受，它们使我更完整。
544,每天都是新的机遇。
545,我的每次尝试都是积累经验的机会。
546,我允许自己适当放松，这很必要。
547,我能体谅他人，也能温柔对待自己。
548,我呼吸平稳，心态自然就平和。
549,我感到不安全时会停下来深呼吸。
550,我理解自己的选择，不苛责自己。
551,我的善良是行动的起点。
552,我接受这一刻的我。
553,我坚定走在实现梦想的路上。
554,今天我允许自己拥有一些甜蜜的时刻。
555,我的每一个选择都充满力量。
556,每一个决定都是自我提升的机会。
557,每次锻炼都让我更自信。
558,每一天都是新的开始。
559,我的情绪值得被我温柔对待。
560,我的每一天都可以重新开始。
561,我每一天都在向目标靠近。
562,今天我将用汗水书写新的篇章。
563,我会按时休息，给自己的健康加分。
564,我今天的学习是为了明天的更好。
565,我有能力实现自己的梦想。
566,我可以选择快乐，每一天都可以。
567,每一天都在变得更好。
568,我做决定时保持善良本心。
569,我接纳现在的自己，每一天都是新的开始。
570,我的每个决定都是成长的一部分。
571,我可以成为他人生命中的一束光。
572,每天的我都是全新的开始。
573,我的小改变也能带来大不同。
574,我今天会好好的计划，引导自己向前进。
575,每个清晨都是我新旅程的开始。
576,我选择爱与被爱，不急不躁。
577,无论身在何处我都能发现价值和联系。
578,我能够蜕变，以更成熟的姿态迎接未来。
579,我的世界充满善意，我也以善意对人。
580,今天我会更加了解自己。
581,每天我都付出一点爱。
582,我相信每个选择都是走向更好的自己。
583,我会照顾自己的身体和心灵。
584,即使是小改变也是新的开始。
585,我对爱有了新的理解。
586,我接受自己的每一面，包括不完美。
587,我选择积极的生活方式。
588,我能在忙碌中找到自己的节奏。
589,我有清醒的头脑和向前的动力。
590,我允许自己今天休息，为明天储蓄能量。
591,我选择乐观，每天都是新的开始。
592,我理解自己的感受，这对我很有帮助。
593,我足够好，无需他人评判。
594,我可以像善待自己一样善待他人。
595,我感激过去的努力，它们塑造了今天的我。
596,我每天都在变得更加坚强。
597,我给予的安慰有力量也有温度。
598,我可以休息片刻，重整旗鼓再出发。
599,我敢于面对困难，因为它让我更强大。
600,每个小成就都值得我为之自豪。
601,现在，让我享受这一刻的宁静。
602,我享受这段步行时光，它让我心情轻松。
603,我有能力培养更深的信任。
604,我能微笑面对每一次交流。
605,身体告诉我它可以适应新变化。
606,我能积极面对感情的变化。
607,我的选择正引领我走向梦想。
608,我感到身体充满能量，我可以做得更好。
609,我决定改变，现在就从学习开始。
610,我每一天都在为理想的工作准备。
611,我可以宽容对待自己偶尔的晚睡。
612,我与他人共建良好关系。
613,我今天会用倾听开启新的友谊。
614,我允许自己休息，也允许自己焕发光彩。
615,每一天的坚持都是对自己最好的肯定。
616,我感受到压力，但我相信自己能调节。
617,无论何时启程，我都有足够的勇气重新出发。
618,我允许自己有未完成的事情。
619,我选择爱，因为我有爱的能力。
620,我能细化今天的目标，慢慢实现梦想。
621,我能清晰看到自己前进的方向。
622,我接纳今天的自己。
623,我的时间我自己安排。
624,我愿意慢慢做，这样可以做得更好。
625,我接纳自己的敏感，它丰富了我的内心。
626,我的话语充满温暖和鼓励。
627,我的不完美让我更加真实。
628,我的感受很重要，我接纳自己的一切情绪。
629,我能按自己的节奏前进。
630,我接受自己的过去，昂首面对未来。
631,我能理智过滤信息，保持清晰的思考。
632,敏感让我更懂他人也更懂得自己。
633,我感恩每一次机会，它是我成长的阶梯。
634,我选择勇敢表达自己的观点。
635,我能分辨真假，我有辨别的能力。
636,我准备好迎接胜利的到来。
637,我可以暂停一下，休息也是生活的一部分。
638,我接受自己的步调，每天都朝着目标前进。
639,每次帮助别人的同时，我也在增长自己的内心力量。
640,我对自己的职业规划充满信心。
641,我会在困难中找到前进的方向。
642,我正在给自己更多的时间和空间。
643,我对自己的梦想充满信心，一切都在掌控中。
644,我选择相信自己的直觉和判断。
645,我可以做到，只需勇往直前。
646,我所坚持的善行是我价值的体现。
647,我内心坚强，无畏前行。
648,我愿意传递希望，让自己和他人感到欣慰。
649,今天的我比昨天更坚强。
650,今天我选择用行动来激发自己的热情。
651,我有权选择休息，今天的我做得并不差。
652,我选择不急不躁。
653,我以平和心态面对结果，无论成败皆有收获。
654,我正在稳步前进，每个今天都值得庆祝。
655,我正踏实地向目标迈进。
656,我能耐心学习，每天都有新的收获。
657,我能战胜拖延，只需从一个行动开始。
658,我有勇气面对改变，新的道路等着我。
659,我能够接受自己的不完美，同时心怀希望。
660,每一个困境都是我成长的契机。
661,每一天我都在变得更适应新生活。
662,我的内心足够包容每一次尝试。
663,今天我选择温柔地与家人交流。
664,我接受自己今天的每一次尝试。
665,我接受自己的不完美，这也是我独特的一部分。
666,我能够控制我的焦虑，迈出更稳健的步伐。
667,我的转变是成长的开始。
668,我的每一次尝试都在积累成长的经验。
669,我正在为自己绘制未来的蓝图。
670,我能稳步推进，每天都是新起点。
671,我对自己的成长有耐心，改变正在发生。
672,我享受安宁的每一个时刻。
673,我选择了勇敢，就无所畏惧。
674,我的自我认同，强大而不可动摇。
675,我正在学会享受生活中的每一个小胜利。
676,我感谢生活的每一份恩赐。
677,每次尝试我都在变得更好。
678,每一次练习都是自我提升的机会。
679,我做出的选择总是引领我向前。
680,我放下过去，着眼于现在。
681,我有能力减少不良回忆，专注于当下。
682,我有力量和韧性去应对一切。
683,我相信自己的价值，别人的眼光干扰不了我。
684,我拥抱变化，变化中藏着新的机会。
685,我愿倾听家人，也让他们听到我。
686,我接受现在的自己，并相信未来会更好。
687,每一个小成就都让我更自信。
688,每次尝试都是我迈向成功的足迹。
689,每一次准备都是成功的基石，我正稳步前进。
690,我的敏感让我与众不同，我喜欢这种独特。
691,我会在呼吸中寻找安宁，这样我能更好地应对不安。
692,我更接近理想中的我。
693,我选择积极变化，未来由我书写。
694,我懂得早睡早起，用活力迎接每一个晨曦。
695,休息和娱乐同样是我生活的一部分。
696,我有能力控制情绪，放开焦虑，步步为营。
697,我接受现在的自己，不论成败。
698,我会珍惜现在的每时每刻。
699,我今天要早睡，新的开始就在眼前。
700,我不会因一次失误就否定自己。
701,今天我有力量去追求我想要的。
702,感恩让我发现生活的美。
703,我在塑造更好的自己。
704,今天我选择面对困难，而不是逃避。
705,休息片刻，为更好地继续前行。
706,我懂得放手释放那些无法承受的重负。
707,我珍惜这一刻的宁静。
708,我能读懂自己，每个选择都基于内心。
709,我的想法值得被听取，我很重要。
710,我感恩遇到的每个人，每件事。
711,我耐心等待自己的成长。
712,我学会接受不完美的自己。
713,休息一下，为明天储存能量。
714,我正在变成更好的自己。
715,我能学会与情绪和平共处。
716,我很坚强，难关总会过去。
717,我的等待是值得的，每份工作都是自我发现的旅程。
718,感恩让我的世界充满光和热。
719,我接纳自己，包括所有的不完美。
720,我有信心迎接每一个新开始。
721,今天我选择对小事表达感谢。
722,我接受冲突是成长的一部分。
723,我脚下的步伐正引领我朝梦想前进。
724,我有能力克服难关，每一天都是新起点。
725,每个小行动都有价值，我正在稳步前行。
726,我有能力区分对与错，我能做出正确选择。
727,我感到紧张是正常的，但我会保持冷静。
728,我正在拥抱我的全部。
729,今天我选择积极面对情绪波动。
730,我选择自己的生活，一切由我开始。
731,我决定不让焦虑主导我。
732,我内心的光照亮前行的路。
733,我能为自己的梦想设定清晰的路径。
734,择善而行，我的内心无所畏惧。
735,我懂得自我鼓励，每一刻都是新开始。
736,我会改变我能改变的。
